routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_feasible_direction,qr,32,1e-06,605096.6875,armijo_feasible_direction_d2c48abf88ae,0.9,0.75,0.5,200,0.4164149761199951,191040.1875,191040.1875,191040.1875,,,100.645
armijo_feasible_direction,qr,32,0.0001,60509.67578125,armijo_feasible_direction_ac18b1c16266,0.9,0.75,0.5,200,0.4164149761199951,191040.1875,191040.1875,191040.1875,,,100.645
armijo_feasible_direction,qr,32,0.01,6050.96728515625,armijo_feasible_direction_bc38744fe9ec,0.9,0.75,0.5,200,0.4164149761199951,191040.1875,191040.1875,191040.1875,,,100.645
armijo_feasible_direction,qr,64,1e-06,605096.6875,armijo_feasible_direction_e4b2c0fae751,0.9,0.75,0.3,200,0.4258507788181305,167106.140625,167106.140625,167106.140625,,,95.805
armijo_feasible_direction,qr,64,0.0001,60509.67578125,armijo_feasible_direction_d4fdc3cd5bcd,0.9,0.75,0.3,200,0.4258507788181305,167106.140625,167106.140625,167106.140625,,,95.805
armijo_feasible_direction,qr,64,0.01,6050.96728515625,armijo_feasible_direction_8211b183317b,0.9,0.75,0.3,200,0.4258507788181305,167106.140625,167106.140625,167106.140625,,,95.805
armijo_feasible_direction,qr,128,1e-06,605096.6875,armijo_feasible_direction_33c90efb7d5c,0.9,0.75,0.3,200,0.44606873393058777,131281.671875,131281.671875,131281.671875,,,94.8
armijo_feasible_direction,qr,128,0.0001,60509.67578125,armijo_feasible_direction_6d886cefa3e0,0.9,0.75,0.3,200,0.44606873393058777,131281.671875,131281.671875,131281.671875,,,94.8
armijo_feasible_direction,qr,128,0.01,6050.96728515625,armijo_feasible_direction_f3e30da66d93,0.9,0.75,0.3,200,0.44606873393058777,131281.671875,131281.671875,131281.671875,,,94.8
