routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_wlra_reg,polar,32,1e-06,1047577.8125,armijo_wlra_reg_0d7b0ab2cf96,0.5,0.5,0.3,200,0.1744382083415985,101920.8828125,101920.8828125,101920.8828125,101927.28125,,18.62
armijo_wlra_reg,polar,32,0.0001,104757.7890625,armijo_wlra_reg_be96afbceab8,0.5,0.5,0.3,200,0.17480452358722687,102041.6875,102041.6875,102041.6875,102128.3125,,18.58
armijo_wlra_reg,polar,32,0.01,10475.7783203125,armijo_wlra_reg_b939c7e08e7a,0.5,0.5,0.3,200,0.17437179386615753,101911.2578125,101911.2578125,101911.2578125,109977.1796875,,18.575
armijo_wlra_reg,polar,64,1e-06,1047577.8125,armijo_wlra_reg_936cc38181b1,0.75,0.75,1.0,200,0.1902988702058792,92074.21875,92074.21875,92074.21875,92075.0625,,56.785
armijo_wlra_reg,polar,64,0.0001,104757.7890625,armijo_wlra_reg_d8c75ec32260,0.75,0.5,1.0,200,0.189706489443779,91828.8359375,91828.8359375,91828.8359375,91911.8046875,,57.28
armijo_wlra_reg,polar,64,0.01,10475.7783203125,armijo_wlra_reg_46959bfc4be0,0.5,0.5,0.3,200,0.19078347086906433,92256.9921875,92256.9921875,92256.9921875,100558.5625,,18.57
armijo_wlra_reg,polar,128,1e-06,1047577.8125,armijo_wlra_reg_97aeaaa9444f,0.75,0.75,1.0,200,0.24174100160598755,86857.515625,86857.515625,86857.515625,86858.3828125,,57.415
armijo_wlra_reg,polar,128,0.0001,104757.7890625,armijo_wlra_reg_2f30a02b42fc,0.75,0.75,1.0,200,0.2407093644142151,86295.5,86295.5,86295.5,86382.1171875,,58.07
armijo_wlra_reg,polar,128,0.01,10475.7783203125,armijo_wlra_reg_22ae7fb0e320,0.75,0.75,0.3,200,0.23684009909629822,84234.5859375,84234.5859375,84234.5859375,92897.8203125,,49.925
