routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_wlra_reg,polar,32,1e-06,362313.75,armijo_wlra_reg_75772aa5b550,0.75,0.5,1.0,200,0.28005489706993103,65865.359375,65865.359375,65865.359375,65865.4140625,,56.24
armijo_wlra_reg,polar,32,0.0001,36231.37890625,armijo_wlra_reg_d6b83c16bfc4,0.75,0.25,0.5,200,0.28031519055366516,65849.9375,65849.9375,65849.9375,65854.234375,,48.695
armijo_wlra_reg,polar,32,0.01,3623.1376953125,armijo_wlra_reg_fb218d9f98ec,0.5,0.5,0.5,200,0.2821027934551239,66462.3046875,66462.3046875,66462.3046875,66877.4140625,,28.925
armijo_wlra_reg,polar,64,1e-06,362313.75,armijo_wlra_reg_2d6be314a983,0.75,0.25,1.0,200,0.29065731167793274,46160.4375,46160.4375,46160.4375,46160.5234375,,37.355
armijo_wlra_reg,polar,64,0.0001,36231.37890625,armijo_wlra_reg_08d99e63288b,0.9,0.75,0.5,200,0.2904135584831238,46281.8828125,46281.8828125,46281.8828125,46288.15234375,,119.185
armijo_wlra_reg,polar,64,0.01,3623.1376953125,armijo_wlra_reg_43e8529d9669,0.9,0.5,1.0,200,0.28863322734832764,44673.9296875,44673.9296875,44673.9296875,45354.85546875,,106.62
armijo_wlra_reg,polar,128,1e-06,362313.75,armijo_wlra_reg_54daf16a79fb,0.9,0.75,1.0,200,0.30800947546958923,18961.77734375,18961.77734375,18961.77734375,18966.029296875,,88.17
armijo_wlra_reg,polar,128,0.0001,36231.37890625,armijo_wlra_reg_24b67be256b5,0.9,0.5,1.0,200,0.30692338943481445,17294.01953125,17294.01953125,17294.01953125,17321.712890625,,85.565
armijo_wlra_reg,polar,128,0.01,3623.1376953125,armijo_wlra_reg_36f707175e10,0.9,0.5,1.0,200,0.30700209736824036,17583.90625,17583.90625,17583.90625,18637.873046875,,85.965
