routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_wlra_reg,qr,32,1e-06,855461.5,armijo_wlra_reg_48bec6129824,0.75,0.5,0.5,200,0.28470659255981445,185723.1875,185723.1875,185723.1875,185724.625,0.2847064733505249,41.479
armijo_wlra_reg,qr,32,0.0001,85546.15625,armijo_wlra_reg_ac83e88ef5d3,0.9,0.75,1.0,200,0.28328001499176025,183903.71875,183903.71875,183903.71875,183943.109375,0.28328001499176025,121.339
armijo_wlra_reg,qr,32,0.01,8554.615234375,armijo_wlra_reg_415c809dcde9,0.9,0.75,0.5,200,0.2839168906211853,184732.46875,184732.46875,184732.46875,188572.109375,0.2839168906211853,114.443
armijo_wlra_reg,qr,64,1e-06,855461.5,armijo_wlra_reg_c046ee78339f,0.9,0.75,0.5,200,0.3005828857421875,166416.546875,166416.546875,166416.546875,166417.953125,0.3005818724632263,114.419
armijo_wlra_reg,qr,64,0.0001,85546.15625,armijo_wlra_reg_6bb5658a828d,0.9,0.75,0.5,200,0.30308499932289124,168727.625,168727.625,168727.625,168769.546875,0.30308499932289124,114.321
armijo_wlra_reg,qr,64,0.01,8554.615234375,armijo_wlra_reg_0a5520cce007,0.9,0.75,1.0,200,0.30074748396873474,166611.0625,166611.0625,166611.0625,170721.8125,0.30074748396873474,120.894
armijo_wlra_reg,qr,128,1e-06,855461.5,armijo_wlra_reg_378c625f4bdd,0.9,0.75,1.0,200,0.34608757495880127,138478.6875,138478.6875,138478.6875,138479.703125,0.34608757495880127,120.585
armijo_wlra_reg,qr,128,0.0001,85546.15625,armijo_wlra_reg_b9448723e5df,0.9,0.75,1.0,200,0.3456484079360962,137864.0625,137864.0625,137864.0625,137910.109375,0.3456480801105499,120.433
armijo_wlra_reg,qr,128,0.01,8554.615234375,armijo_wlra_reg_d205252319b6,0.9,0.75,0.3,200,0.34639856219291687,138952.453125,138952.453125,138952.453125,143464.140625,0.34634488821029663,108.73
