routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_projection_arc,polar,32,1e-06,362313.75,armijo_projection_arc_0e8fc2509d41,0.75,0.5,1.0,200,0.2801879942417145,65793.109375,65793.109375,65793.109375,,0.2801879942417145,109.475
armijo_projection_arc,polar,32,0.0001,36231.37890625,armijo_projection_arc_a235a598f135,0.75,0.5,1.0,200,0.2801879942417145,65793.109375,65793.109375,65793.109375,,0.2801879942417145,109.475
armijo_projection_arc,polar,32,0.01,3623.1376953125,armijo_projection_arc_283651aade02,0.75,0.5,1.0,200,0.2801879942417145,65793.109375,65793.109375,65793.109375,,0.2801879942417145,109.475
armijo_projection_arc,polar,64,1e-06,362313.75,armijo_projection_arc_6508de722fe5,0.9,0.5,1.0,200,0.2864752411842346,42396.7734375,42396.7734375,42396.7734375,,0.2864752411842346,135.58
armijo_projection_arc,polar,64,0.0001,36231.37890625,armijo_projection_arc_74d42ecb147c,0.9,0.5,1.0,200,0.2864752411842346,42396.7734375,42396.7734375,42396.7734375,,0.2864752411842346,135.58
armijo_projection_arc,polar,64,0.01,3623.1376953125,armijo_projection_arc_73b35d6202e3,0.9,0.5,1.0,200,0.2864752411842346,42396.7734375,42396.7734375,42396.7734375,,0.2864752411842346,135.58
armijo_projection_arc,polar,128,1e-06,362313.75,armijo_projection_arc_12711057281b,0.9,0.5,1.0,200,0.30680298805236816,16975.353515625,16975.353515625,16975.353515625,,0.30678004026412964,118.111
armijo_projection_arc,polar,128,0.0001,36231.37890625,armijo_projection_arc_475b42481e32,0.9,0.5,1.0,200,0.30680298805236816,16975.353515625,16975.353515625,16975.353515625,,0.30678004026412964,118.111
armijo_projection_arc,polar,128,0.01,3623.1376953125,armijo_projection_arc_fc805b143184,0.9,0.5,1.0,200,0.30680298805236816,16975.353515625,16975.353515625,16975.353515625,,0.30678004026412964,118.111
