routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_projection_arc,polar,32,1e-06,362313.75,armijo_projection_arc_e592ad96f76f,0.9,0.75,0.3,200,0.27696463465690613,63880.87109375,63880.87109375,63880.87109375,,,92.54
armijo_projection_arc,polar,32,0.0001,36231.37890625,armijo_projection_arc_790b927ea1e3,0.9,0.75,0.3,200,0.27696463465690613,63880.87109375,63880.87109375,63880.87109375,,,92.54
armijo_projection_arc,polar,32,0.01,3623.1376953125,armijo_projection_arc_7809692c1af5,0.9,0.75,0.3,200,0.27696463465690613,63880.87109375,63880.87109375,63880.87109375,,,92.54
armijo_projection_arc,polar,64,1e-06,362313.75,armijo_projection_arc_6508de722fe5,0.9,0.5,1.0,200,0.28872063755989075,44225.6328125,44225.6328125,44225.6328125,,,115.52
armijo_projection_arc,polar,64,0.0001,36231.37890625,armijo_projection_arc_74d42ecb147c,0.9,0.5,1.0,200,0.28872063755989075,44225.6328125,44225.6328125,44225.6328125,,,115.52
armijo_projection_arc,polar,64,0.01,3623.1376953125,armijo_projection_arc_73b35d6202e3,0.9,0.5,1.0,200,0.28872063755989075,44225.6328125,44225.6328125,44225.6328125,,,115.52
armijo_projection_arc,polar,128,1e-06,362313.75,armijo_projection_arc_12711057281b,0.9,0.5,1.0,200,0.30783331394195557,18845.73828125,18845.73828125,18845.73828125,,,87.08
armijo_projection_arc,polar,128,0.0001,36231.37890625,armijo_projection_arc_475b42481e32,0.9,0.5,1.0,200,0.30783331394195557,18845.73828125,18845.73828125,18845.73828125,,,87.08
armijo_projection_arc,polar,128,0.01,3623.1376953125,armijo_projection_arc_fc805b143184,0.9,0.5,1.0,200,0.30783331394195557,18845.73828125,18845.73828125,18845.73828125,,,87.08
