routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_projection_arc,qr,32,1e-06,513731.40625,armijo_projection_arc_6e04d06b8de3,0.9,0.75,0.3,200,0.21331797540187836,82160.421875,82160.421875,82160.421875,,,93.195
armijo_projection_arc,qr,32,0.0001,51373.14453125,armijo_projection_arc_d23e61539d56,0.9,0.75,0.3,200,0.21331797540187836,82160.421875,82160.421875,82160.421875,,,93.195
armijo_projection_arc,qr,32,0.01,5137.314453125,armijo_projection_arc_fcbbf79b4d9c,0.9,0.75,0.3,200,0.21331797540187836,82160.421875,82160.421875,82160.421875,,,93.195
armijo_projection_arc,qr,64,1e-06,513731.40625,armijo_projection_arc_36d8b948df45,0.9,0.75,0.5,200,0.22278031706809998,58478.875,58478.875,58478.875,,,97.21
armijo_projection_arc,qr,64,0.0001,51373.14453125,armijo_projection_arc_891f2e1e7c72,0.9,0.75,0.5,200,0.22278031706809998,58478.875,58478.875,58478.875,,,97.21
armijo_projection_arc,qr,64,0.01,5137.314453125,armijo_projection_arc_5f84df395e97,0.9,0.75,0.5,200,0.22278031706809998,58478.875,58478.875,58478.875,,,97.21
armijo_projection_arc,qr,128,1e-06,513731.40625,armijo_projection_arc_c5c4d2822f4a,0.9,0.75,1.0,200,0.2738403379917145,31125.255859375,31125.255859375,31125.255859375,,,101.13
armijo_projection_arc,qr,128,0.0001,51373.14453125,armijo_projection_arc_8282f29899f4,0.9,0.75,1.0,200,0.2738403379917145,31125.255859375,31125.255859375,31125.255859375,,,101.13
armijo_projection_arc,qr,128,0.01,5137.314453125,armijo_projection_arc_1921bac2f9b1,0.9,0.75,1.0,200,0.2738403379917145,31125.255859375,31125.255859375,31125.255859375,,,101.13
