routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_feasible_direction,qr,32,1e-06,629349.375,armijo_feasible_direction_01738c44c6d0,0.9,0.75,0.3,200,0.16507898271083832,77159.484375,77159.484375,77159.484375,,,101.6
armijo_feasible_direction,qr,32,0.0001,62934.9453125,armijo_feasible_direction_48c132f06ded,0.9,0.75,0.3,200,0.16507898271083832,77159.484375,77159.484375,77159.484375,,,101.6
armijo_feasible_direction,qr,32,0.01,6293.494140625,armijo_feasible_direction_49e6ab2e3855,0.9,0.75,0.3,200,0.16507898271083832,77159.484375,77159.484375,77159.484375,,,101.6
armijo_feasible_direction,qr,64,1e-06,629349.375,armijo_feasible_direction_712b93da6518,0.9,0.75,1.0,200,0.14922572672367096,47968.625,47968.625,47968.625,,,112.74
armijo_feasible_direction,qr,64,0.0001,62934.9453125,armijo_feasible_direction_9b5642d77bb0,0.9,0.75,1.0,200,0.14922572672367096,47968.625,47968.625,47968.625,,,112.74
armijo_feasible_direction,qr,64,0.01,6293.494140625,armijo_feasible_direction_8f516ed6baee,0.9,0.75,1.0,200,0.14922572672367096,47968.625,47968.625,47968.625,,,112.74
armijo_feasible_direction,qr,128,1e-06,629349.375,armijo_feasible_direction_d7b0a58fad41,0.9,0.75,0.5,200,0.22499723732471466,27695.013671875,27695.013671875,27695.013671875,,,105.17
armijo_feasible_direction,qr,128,0.0001,62934.9453125,armijo_feasible_direction_55ff02b29ed0,0.9,0.75,0.5,200,0.22499723732471466,27695.013671875,27695.013671875,27695.013671875,,,105.17
armijo_feasible_direction,qr,128,0.01,6293.494140625,armijo_feasible_direction_512dfccce76d,0.9,0.75,0.5,200,0.22499723732471466,27695.013671875,27695.013671875,27695.013671875,,,105.17
