routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_wlra_reg,qr,32,1e-06,629349.375,armijo_wlra_reg_bfdcac1b5bc2,0.9,0.75,0.3,200,0.16512468457221985,77217.9296875,77217.9296875,77217.9296875,77218.953125,,100.93
armijo_wlra_reg,qr,32,0.0001,62934.9453125,armijo_wlra_reg_92d8a9860d12,0.9,0.75,0.5,200,0.16508851945400238,77179.953125,77179.953125,77179.953125,77206.6875,,105.535
armijo_wlra_reg,qr,32,0.01,6293.494140625,armijo_wlra_reg_cdf48c295ef1,0.9,0.75,1.0,200,0.16491906344890594,77023.453125,77023.453125,77023.453125,79671.75,,112.555
armijo_wlra_reg,qr,64,1e-06,629349.375,armijo_wlra_reg_85c8f0e74c8e,0.9,0.75,1.0,200,0.14932385087013245,48005.078125,48005.078125,48005.078125,48005.7109375,,112.26
armijo_wlra_reg,qr,64,0.0001,62934.9453125,armijo_wlra_reg_035af53f0ade,0.9,0.75,1.0,200,0.14923810958862305,47972.77734375,47972.77734375,47972.77734375,48006.6484375,,112.855
armijo_wlra_reg,qr,64,0.01,6293.494140625,armijo_wlra_reg_0a5520cce007,0.9,0.75,1.0,200,0.1492711305618286,47996.71875,47996.71875,47996.71875,50957.98046875,,112.15
armijo_wlra_reg,qr,128,1e-06,629349.375,armijo_wlra_reg_83659dab7ba8,0.9,0.75,0.3,200,0.22399461269378662,27545.046875,27545.046875,27545.046875,27546.03515625,,100.32
armijo_wlra_reg,qr,128,0.0001,62934.9453125,armijo_wlra_reg_06c6b3096945,0.9,0.75,0.5,200,0.223332941532135,27443.650390625,27443.650390625,27443.650390625,27478.9296875,,105.905
armijo_wlra_reg,qr,128,0.01,6293.494140625,armijo_wlra_reg_d205252319b6,0.9,0.75,0.3,200,0.22313810884952545,27445.6484375,27445.6484375,27445.6484375,30776.67578125,,100.315
