routine,retraction,rank,lmbda,r,config_id,beta,sigma,initial_step,max_backtracks,final_rmse,final_wlra_loss,final_data_loss,final_objective,final_regularized_objective,best_rmse,mean_armijo_evaluations
armijo_wlra_reg,polar,32,1e-06,855461.5,armijo_wlra_reg_923a5b8bfaae,0.75,0.5,0.3,200,0.2925277650356293,191800.265625,191800.265625,191800.265625,191800.640625,,76.89
armijo_wlra_reg,polar,32,0.0001,85546.15625,armijo_wlra_reg_5933011c90b7,0.75,0.5,1.0,200,0.2934419810771942,191980.1875,191980.1875,191980.1875,192017.234375,,60.825
armijo_wlra_reg,polar,32,0.01,8554.615234375,armijo_wlra_reg_60441bd8c9b0,0.75,0.5,0.3,200,0.29374369978904724,192130.28125,192130.28125,192130.28125,195833.234375,,79.55
armijo_wlra_reg,polar,64,1e-06,855461.5,armijo_wlra_reg_26dad2c28b31,0.75,0.5,0.3,200,0.3140597641468048,175113.84375,175113.84375,175113.84375,175114.265625,,73.615
armijo_wlra_reg,polar,64,0.0001,85546.15625,armijo_wlra_reg_d8c75ec32260,0.75,0.5,1.0,200,0.31339961290359497,174763.890625,174763.890625,174763.890625,174804.171875,,44.38
armijo_wlra_reg,polar,64,0.01,8554.615234375,armijo_wlra_reg_8649497bbdcd,0.5,0.5,0.5,200,0.3139912188053131,175020.0625,175020.0625,175020.0625,178989.125,,18.445
armijo_wlra_reg,polar,128,1e-06,855461.5,armijo_wlra_reg_17e0fb070970,0.75,0.5,0.5,200,0.3522404730319977,145417.1875,145417.1875,145417.1875,145417.625,,49.455
armijo_wlra_reg,polar,128,0.0001,85546.15625,armijo_wlra_reg_641b151c43db,0.5,0.5,0.5,200,0.35201209783554077,145096.359375,145096.359375,145096.359375,145140.921875,,17.89
armijo_wlra_reg,polar,128,0.01,8554.615234375,armijo_wlra_reg_08651dfd57ad,0.5,0.25,0.5,200,0.35240378975868225,145460.75,145460.75,145460.75,149876.203125,,17.615
